Raman shift [1/cm],Intensity
796.864,323.79816
795.393,317.5944
793.922,311.62107
792.451,310.45832
790.98,316.43187
789.509,330.68031
788.037,348.60115
786.566,363.0644
785.095,374.1396
783.624,383.78107
782.153,406.53755
780.682,440.44336
779.211,480.52472
777.74,518.06539
776.269,529.19222
774.798,522.87626
773.326,518.02159
771.855,502.01452
770.384,481.74313
768.913,462.47372
767.442,435.79489
765.971,409.73542
764.5,384.4485
763.029,361.55347
761.558,358.34821
760.087,363.76483
758.615,368.85137
757.144,365.07579
755.673,358.17619
754.202,350.58161
752.731,338.69418
751.26,329.67471
749.789,331.5686
748.318,336.87604
746.847,332.14249
745.376,324.47607
743.904,318.18807
742.433,320.78816
740.962,319.36531
739.491,310.40282
738.02,298.49496
736.549,275.13669
735.078,254.71674
733.607,240.06387
732.136,233.99065
730.665,241.10143
729.193,244.59628
727.722,238.79158
726.251,236.87678
724.78,238.31937
723.309,240.53725
721.838,246.81243
720.367,237.79793
718.896,226.1649
717.425,217.56283
715.954,208.21492
714.482,204.63222
713.011,200.3904
711.54,205.05848
710.069,209.41036
708.598,211.36593
707.127,211.81071
705.656,223.93229
704.185,232.95861
702.714,236.26316
701.243,250.08405
699.771,255.06646
698.3,245.87072
696.829,224.89166
695.358,201.61268
693.887,175.26737
692.416,147.3535
690.945,141.45099
689.474,144.69894
688.003,148.46576
686.532,165.10483
685.06,195.56473
683.589,230.02713
682.118,268.84853
680.647,307.05685
679.176,323.18084
677.705,326.8627
676.234,324.46288
674.763,323.85352
673.292,319.44146
671.821,325.93896
670.349,346.83811
668.878,363.80623
667.407,366.34186
665.936,376.62152
664.465,391.08918
662.994,396.8128
661.523,408.19527
660.052,417.75802
658.581,413.80461
657.11,421.15045
655.638,433.28958
654.167,444.10933
652.696,444.08429
651.225,449.11311
649.754,451.67719
648.283,459.59042
646.812,454.62091
645.341,439.51284
643.87,423.87929
642.399,405.91684
640.927,402.1958
639.456,401.78532
637.985,399.54949
636.514,417.93491
635.043,446.79389
633.572,475.36926
632.101,495.86863
630.63,516.53747
629.159,542.59356
627.688,572.02319
626.216,582.19353
624.745,583.74083
623.274,591.1443
621.803,601.51561
620.332,620.1434
618.861,643.40589
617.39,670.82124
615.919,701.73084
614.448,750.90294
612.977,794.84261
611.505,759.28918
610.034,703.70663
608.563,640.45889
607.092,582.56562
605.621,529.76104
604.15,487.17009
602.679,455.74655
601.208,443.30413
599.737,450.92671
598.266,469.14055
596.794,504.65273
595.323,557.97852
593.852,624.17707
592.381,641.99777
590.91,595.50882
589.439,572.62654
587.968,553.82956
586.497,536.49384
585.026,512.46578
583.555,506.15796
582.083,500.92588
580.612,490.47761
579.141,479.27868
577.67,476.30155
576.199,488.6597
574.728,503.71426
573.257,502.8948
571.786,475.03998
570.315,448.69273
568.844,431.34427
567.372,419.20655
565.901,400.49615
564.43,388.35785
562.959,390.43785
561.488,375.47027
560.017,356.3507
558.546,348.02761
557.075,350.76646
555.604,360.82682
554.133,368.3896
552.661,367.15683
551.19,367.28379
549.719,374.62849
548.248,383.66561
546.777,391.60699
545.306,396.03631
543.835,404.1943
542.364,410.43589
540.893,411.38952
539.422,413.24561
537.95,424.48241
536.479,433.56637
535.008,424.98523
533.537,422.89048
532.066,425.10676
530.595,424.27421
529.124,418.12894
527.653,413.03525
526.182,422.86378
524.711,419.22902
523.239,406.24499
521.768,396.83136
520.297,393.89356
518.826,396.0792
517.355,400.9131
515.884,395.38687
514.413,379.46776
512.942,377.41345
511.471,379.09489
510,379.73181
508.528,382.31573
507.057,396.30175
505.586,414.13028
504.115,407.14602
502.644,400.975
501.173,403.09315
499.702,405.90044
498.231,407.10507
496.76,405.31483
495.289,401.325
493.817,388.91049
492.346,370.96169
490.875,365.69002
489.404,359.84161
487.933,347.65015
486.462,327.21714
484.991,306.94349
483.52,290.6884
482.049,278.59289
480.578,267.46098
479.106,256.33183
477.635,253.54207
476.164,253.0681
474.693,250.56047
473.222,246.31187
471.751,249.32627
470.28,264.69047
468.809,268.93854
467.338,264.48383
465.867,256.03238
464.395,255.40438
462.924,254.73485
461.453,244.08486
459.982,236.59655
458.511,231.10994
457.04,222.23282
455.569,213.82696
454.098,203.79483
452.627,180.24211
451.156,158.30433
449.684,142.20983
448.213,132.46239
446.742,124.98249
445.271,115.69153
443.8,103.54446
442.329,93.48492
440.858,90.382424
439.387,103.15714
437.916,116.01263
436.445,121.26689
434.973,129.71602
433.502,132.4542
432.031,126.80727
430.56,129.51971
429.089,138.98719
427.618,152.94235
426.147,158.49393
424.676,159.46184
423.205,162.97692
421.734,169.39519
420.262,177.89581
418.791,189.54435
417.32,197.10897
415.849,201.5532
414.378,214.61176
412.907,230.90737
411.436,244.85706
409.965,258.01085
408.494,280.15382
407.023,307.54284
405.551,329.77561
404.08,344.19527
402.609,358.09514
401.138,365.61785
399.667,367.04187
