Raman shift [1/cm],Intensity
1012.537,53.738466
1011.066,64.266136
1009.594,76.122803
1008.123,89.1234
1006.652,99.448354
1005.181,110.98169
1003.71,122.90479
1002.239,133.26654
1000.768,144.59211
999.297,151.45846
997.826,152.52316
996.355,151.73515
994.883,146.06756
993.412,135.42367
991.941,124.26196
990.47,111.25577
988.999,96.606399
987.528,81.704469
986.057,68.785835
984.586,60.278013
983.115,54.537078
981.644,49.183887
980.172,47.105517
978.701,44.58339
977.23,42.823854
975.759,41.358909
974.288,39.750696
972.817,40.783574
971.346,41.062266
969.875,42.177254
968.404,40.467995
966.933,37.606546
965.461,37.053772
963.99,36.165408
962.519,33.271778
961.048,31.44899
959.577,32.817109
958.106,31.181368
956.635,31.437517
955.164,32.212094
953.693,34.529915
952.222,37.867198
950.75,35.726578
949.279,35.86351
947.808,37.174037
946.337,41.680709
944.866,45.830852
943.395,48.460246
941.924,52.253033
940.453,60.441028
938.982,67.114243
937.511,70.885841
936.039,77.825709
934.568,83.244801
933.097,85.538813
931.626,85.502592
930.155,81.014302
928.684,80.886211
927.213,83.70831
925.742,86.964892
924.271,88.4306
922.8,89.613355
921.328,92.975836
919.857,97.553766
918.386,100.91204
916.915,105.38202
915.444,109.17995
913.973,110.45586
912.502,108.69851
911.031,107.20833
909.56,106.95699
908.089,106.99273
906.617,108.8349
905.146,113.04442
903.675,115.27321
902.204,117.20596
900.733,120.67789
899.262,124.78883
897.791,131.08599
896.32,136.08831
894.849,138.64617
893.378,140.19584
891.906,140.2413
890.435,141.64587
888.964,144.57894
887.493,147.18513
886.022,151.1516
884.551,154.6033
883.08,155.29465
881.609,157.1302
880.138,154.05465
878.667,154.83017
877.195,158.52822
875.724,161.80369
874.253,166.30126
872.782,178.7557
871.311,203.3135
869.84,247.1718
868.369,310.63251
866.898,386.58736
865.427,470.24636
863.956,555.98592
862.484,630.54185
861.013,686.87958
859.542,715.69463
858.071,721.93685
856.6,697.96363
855.129,645.34449
853.658,570.7007
852.187,489.02038
850.716,406.57178
849.245,330.19647
847.773,265.04472
846.302,210.35499
844.831,169.92789
843.36,143.49038
841.889,120.30622
